isin,requested_exchCode,figi,name,ticker,exchCode,compositeFIGI,shareClassFIGI,securityType,securityType2,marketSector,securityDescription,warning,yahoo_ticker
INE806T01020,IN,BBG00BSCRYJ4,SAPPHIRE FOODS INDIA LTD,SAPPHIRE,IN,BBG00BSCRYJ4,BBG00BSCRYK2,Common Stock,Common Stock,Equity,SAPPHIRE,,SAPPHIRE.NS
INE331A01037,IN,BBG000CVWV67,RAMCO CEMENTS LTD/THE,TRCL,IN,BBG000CVWV67,BBG001S83ZH0,Common Stock,Common Stock,Equity,TRCL,,TRCL.NS
INE09VQ01012,IN,BBG00CGFVG66,INDIGO PAINTS LTD,INDIGOPN,IN,BBG00CGFVG66,BBG00CGFVG75,Common Stock,Common Stock,Equity,INDIGOPN,,INDIGOPN.NS
INE786A01032,IN,BBG000D0FGP5,JK LAKSHMI CEMENT LTD,JKLC,IN,BBG000D0FGP5,BBG001S84T10,Common Stock,Common Stock,Equity,JKLC,,JKLC.NS
INE0V6F01027,IN,BBG000D7RM38,HYUNDAI MOTOR INDIA LTD,HYUNDAI,IN,BBG000D7RM38,BBG001SGH8L2,Common Stock,Common Stock,Equity,HYUNDAI,,HYUNDAI.NS
INE089A01031,IN,BBG000CQNB44,DR. REDDY'S LABORATORIES,DRRD,IN,BBG000CQNB44,BBG001S836J2,Common Stock,Common Stock,Equity,DRRD,,DRRD.NS
INE118D01016,IN,BBG004KD0Q02,NUVOCO VISTAS CORP LTD,NUVOCO,IN,BBG004KD0Q02,BBG004KD0Q11,Common Stock,Common Stock,Equity,NUVOCO,,NUVOCO.NS
INE019A01038,IN,BBG000C1ZGP2,JSW STEEL LTD,JSTL,IN,BBG000C1ZGP2,BBG001S7QVS4,Common Stock,Common Stock,Equity,JSTL,,JSTL.NS
INE203G01027,IN,BBG000BZWF19,INDRAPRASTHA GAS LTD,IGL,IN,BBG000BZWF19,BBG001SD9C11,Common Stock,Common Stock,Equity,IGL,,IGL.NS
INE388Y01029,IN,BBG006L4NN17,FSN E-COMMERCE VENTURES LTD,NYKAA,IN,BBG006L4NN17,BBG006L4NN35,Common Stock,Common Stock,Equity,NYKAA,,NYKAA.NS
INE095A01012,IN,BBG000BQD264,INDUSIND BANK LTD,IIB,IN,BBG000BQD264,BBG001S9GPC1,Common Stock,Common Stock,Equity,IIB,,IIB.NS
INE379A01028,IN,BBG000CSX3X5,ITC HOTELS LIMITED,ITCHOTEL,IN,BBG000CSX3X5,BBG001S83LV5,Common Stock,Common Stock,Equity,ITCHOTEL,,ITCHOTEL.NS
INE868B01028,IN,BBG000CWT3F1,NCC LTD,NJCC,IN,BBG000CWT3F1,BBG001S844K4,Common Stock,Common Stock,Equity,NJCC,,NJCC.NS
INE176B01034,IN,BBG000D44YN2,HAVELLS INDIA LTD,HAVL,IN,BBG000D44YN2,BBG001S85GQ0,Common Stock,Common Stock,Equity,HAVL,,HAVL.NS
INE00H001014,IN,BBG008G5QN13,SWIGGY LTD,SWIGGY,IN,BBG008G5QN13,BBG008G5QN22,Common Stock,Common Stock,Equity,SWIGGY,,SWIGGY.NS
INE038A01020,IN,BBG000CSJQQ8,HINDALCO INDUSTRIES LTD,HNDL,IN,BBG000CSJQQ8,BBG001S83JV0,Common Stock,Common Stock,Equity,HNDL,,HNDL.NS
INE387A01021,IN,BBG000D0JFF4,SUNDRAM FASTENERS LTD,SF,IN,BBG000D0JFF4,BBG001S84TM7,Common Stock,Common Stock,Equity,SF,,SF.NS
